SYSTEM_DND_HARVTUG|Дрони-буксири OT Hard-Stop

SYSTEM_DND_HARVTUG_DESC|Система доставки нанодронів Obonto-Titan Hard-Stop є модифікацією системи класу Harvester від THI, налаштованою для м'якої зупинки об'єктів з високим альбедо відносно кілець. Спочатку вироблена для OCP-209 як власний метод запобігання втраті обладнання, ця система згодом була поширена на вторинному ринку після укладення комерційних угод у 2260-х роках.

SYSTEM_DND_HARVTUG_SPECS|Енергоспоживання : 120 MW \nЕфективна дистанція: 800 м (пряма видимість) \nШвидкість запуску дронів: 100 дронів/c \nПочаткова маса дрона: 0.1 кг \nТяга: 1 kN (на дрона) \nМаса: 8,000 кг \nВиробник: Obonto Micro Engineering / Titan Heavy Industries


SYSTEM_DND_HARVHAUL|Дрони-тягачі класу - Harvester THI

SYSTEM_DND_HARVHAUL_DESC|Цей монструозний апарат є промисловою конвеєрною лінією, яка маскується під збирач одноразових нанодронів. Його величезний інфрачервоний лазерний масив і блок виготовлення повинні бути підключені до окремих низькостресових шин, але коли він отримує достатньо енергії, це вражаюче видовище. Поведінка пристрою спрямовує дрони на перехоплення будь-яких об'єктів з високим рівнем альбедо і буксирує їх до вашого корабля.

SYSTEM_DND_HARVHAUL_SPECS|Енергоспоживання : 120 MW \nЕфективна дистанція: 800 м (пряма видимість) \nШвидкість запуску дронів: 100 дронів/c \nПочаткова маса дрона: 0.1 кг \nТяга: 1 kN (на дрона) \nМаса: 8,000 кг \nВиробник: Titan Heavy Industries



SYSTEM_EXODYN|Вантажний контейнер THI Dyna-Cargo

SYSTEM_EXODYN_DESC|Експериментальний динамічний варіант вантажного контейнера THI, випущений у продаж в середині 2200-х років. Для функціонування бункеру необхідна Установка Переробки Мінералів. Придбання обладнання для експлуатації контейнеру супроводжується договором оренди, який покриває постачання нових автономних модулів протягом усього терміну дії ліцензії власника\n\nDyna-Cargo є товарним знаком Titan Heavy Industries. Усі права захищені. Адміністрація станції попереджає, що використання певних конфігурацій маневрових двигунів може призвести до перегріву мікрореактора вантажного контейнера. Всю відповідальність беруть на себе власники вантажного контейнера. 


SYSTEM_EXODYN_SPECS|Вантажність: 72,000 кг (сукупна) \nЕнергоспоживання (номінальне): 20 MW \nМаса контейнеру: 500 кг \nВиробник: Titan Heavy Industries



SYSTEM_EXSTORAGE_ALT|Вантажний контейнер THI-CC (Альтернативний)

SYSTEM_EXSTORAGE_ALT_DESC|TВантажні контейнери Titan Heavy Industries - це повністю автономні бункери, здатні доставляти вантаж перероблених мінералів із зони видобутку на станцію. Контейнер самостійно поврнеться на станцію після від'єднання від корабля. Для функціонування бункеру необхідна Установка Переробки Мінералів. Придбання обладнання для експлуатації контейнеру супроводжується договором оренди, який покриває постачання нових автономних модулів протягом усього терміну дії ліцензії власника. \n\nАдміністрація станції попереджає, що використання певних конфігурацій маневрових двигунів може призвести до перегріву мікрореактора вантажного контейнера. Всю відповідальність беруть на себе власники вантажного контейнера. \n\nЦя альтернативна версія для серії Prospector розташовується в середній частині судна для покращеного маневрування.


SYSTEM_EXMONO_ALT|Моновантажний контейнер THI (Альтернативний)

SYSTEM_EXMONO_ALT_DESC|Однорудний варіант стандартного вантажного контейнера THI для спеціалізованих видобувних рейсів, які зосереджуються на зборі лише одного типу мінералу. Для функціонування бункеру необхідна Установка Переробки Мінералів. Придбання обладнання для експлуатації контейнеру супроводжується договором оренди, який покриває постачання нових автономних модулів протягом усього терміну дії ліцензії власника \n\nАдміністрація станції попереджає, що використання певних конфігурацій маневрових двигунів може призвести до перегріву мікрореактора вантажного контейнера. Всю відповідальність беруть на себе власники вантажного контейнера. \n\nЦя альтернативна версія для серії Prospector розташовується в середній частині судна для покращеного маневрування.

SYSTEM_EXODYN_ALT|Вантажний контейнер THI Dyna-Cargo (Альтернативний)

SYSTEM_EXODYN_ALT_DESC|Експериментальний динамічний варіант вантажного контейнера THI, випущений у продаж в середині 2200-х років. Для функціонування бункеру необхідна Установка Переробки Мінералів. Придбання обладнання для експлуатації контейнеру супроводжується договором оренди, який покриває постачання нових автономних модулів протягом усього терміну дії ліцензії власника\n\nDyna-Cargo є товарним знаком Titan Heavy Industries. Усі права захищені. Адміністрація станції попереджає, що використання певних конфігурацій маневрових двигунів може призвести до перегріву мікрореактора вантажного контейнера. Всю відповідальність беруть на себе власники вантажного контейнера.  \n\nTЦя альтернативна версія для серії Prospector розташовується в середній частині судна для покращеного маневрування.
