SLOT_CARGOBAY_MOD|Набори для утримання мінералів



SYSTEM_CARGO_MOD_2K|SSE Saddlebags

SYSTEM_CARGO_MOD_2K_DESC|Базовий набір модулів розширення від Sin Space Engineering, що пропонує незначне збільшення простору вантажного трюму. Застереження: використання неліцензійного обладнання може призвести до анулювання гарантії на ваше судно.

SYSTEM_CARGO_MOD_2K_SPECS|Місткість переробленого вантажу: 2,000 кг / мінерал (12,000 кг total) \nСумісність: Розділений і Динамічний \nМаса: 1,000 кг \nВиробник: Sin Space Engineering


SYSTEM_CARGO_MOD_4K|E-Prime Hold Rejoin

SYSTEM_CARGO_MOD_4K_DESC|Замовлення на розширення трюму для оброблених вантажів вашого судна, люб'язно надане місцевою верф'ю. Встановлення супроводжується гарантією повернення грошей, спеціальним додатком до гарантії та повною перевіркою цілісності конструкції для вашого душевного спокою. Літайте безпечно!

SYSTEM_CARGO_MOD_4K_SPECS|Місткість переробленого вантажу: 4,000 кг / мінерал (24,000 кг total) \nСумісність: Розділений і Динамічний \nМаса: 2,000 кг \nВиробник: N/A


SYSTEM_CARGO_MOD_6K|Conlido freightReady Hoppers

SYSTEM_CARGO_MOD_6K_DESC|Набір вбудованих в корпус мінеральних контейнерів, що реалізують запатентовану технологію Never-Void для забезпечення повного використання усього доступного простору. Ідуть з додатком до гарантії. Цей продукт був протестований РЕАЛЬНИМИ шахтарями, які виконують РЕАЛЬНУ роботу в РЕАЛЬНИХ КОСМІЧНИХ УМОВАХ! \n\nПримітка: судна з установками, встановленими пізніше 2237 року, не можуть претендувати на компенсацію за виробничу травму, пов'язану з експлуатацією / обслуговуванням / установкою / зняттям / використанням або візуальним / слуховим / смаковим / нюховим / фізичним / розумовим контактом з бункерами Conlido freightReady Hoppers. Ознайомтеся з належними експлуатаційними процедурами для себе та колег, перш ніж виконувати обов'язки, пов'язані з використанням бункерів Conlido freightReady Hoppers.

SYSTEM_CARGO_MOD_6K_SPECS|Місткість переробленого вантажу: 6,000 кг / мінерал (36,000 кг total) \nСумісність: Розділений і Динамічний \nМаса: 3,500 кг \nВиробник: Conlido RVM


SYSTEM_CARGO_MOD_BOTH_MANUAL|Для правильного використання потрібна Установка Переробки Мінералів. \nПасивно збільшує об'єм переробленого вантажу на борту.



SYSTEM_CARGO_MOD_BOLTS|Фіксуючий болт

SYSTEM_CARGO_MOD_BOLTS_DESC|Асортимент стандартних фіксуючих болтів для суден зі змінною геометрією трюмів, які встановлюються у відповідні точки кріплення

SYSTEM_CARGO_MOD_BOLTS_SPECS|Тип конвертації: Динамічний до Розділеного \nКоефіцієнт конвертації: 1:1 (без зменшення)

SYSTEM_CARGO_MOD_BOLTS_MANUAL|Перетворює об'єм зберігання мінералів на Розділений. \nРозділені ділянки діляться порівну на шості частини від загальної комбінованої ємності. \nНе потребує енергії або тепла реактора.



SYSTEM_CARGO_MOD_AMORPH4|Conlido aMorphIV

SYSTEM_CARGO_MOD_AMORPH4_DESC|Хоча експериментальна геометрія трюму Cothon-217 мала обмежений успіх, компанія Conlido RVM все ще була зацікавлена в цій концепції. Були укладені угоди між виробниками кораблів для проведення випробувань, і незважаючи на невдалий старт і пропущені крайні терміни, набір для конверсії трюма aMorphIV від Conlido увійшов на ринок. \n\nЙого модульні частини можуть бути модернізовані для всіх суднових систем, які зараз доступні на ринку, і він використовує ті ж самі фундаментальні принципи, що і судно, на якому він був створений.

SYSTEM_CARGO_MOD_AMORPH4_SPECS|Тип конвертації: Розділений до Динамічного \nКоефіцієнт конвертації: 6:4 (33% зменшення) \nМаса: 1,500 кг \nВиробник: Conlido RVM


SYSTEM_CARGO_MOD_AMORPH5|THI MD-5

SYSTEM_CARGO_MOD_AMORPH5_DESC|Набір для конверсії трюма Titan Heavy Industries MD-5 добре відомий серед інженерів суднобудівних верфей завдяки своїм внутрішнім об'ємам, що згортаються у формі гармошки. З досвіду попередніх реалізацій було враховано уроки, і в результаті обладнання займає набагато менше місця в трюмі, але його компактні лінійні приводи і точна збірка призводять до високої початкової ціни.

SYSTEM_CARGO_MOD_AMORPH5_SPECS|Тип конвертації: Розділений до Динамічного \nКоефіцієнт конвертації: 6:5 (17% зменшення) \nМаса: 2,500 кг \nВиробник: Titan Heavy Industries


SYSTEM_CARGO_MOD_AMORPH6|NDSBH

SYSTEM_CARGO_MOD_AMORPH6_DESC|М'який тримач від Nakamura Dynamics - це є найкращім набіром для динамічної конверсії розділених тримачів, який видаляє стандартні розділові перегородки і замінює їх простою, але ефективною системою рулонних  перегородок,  яка виготовляється на замовлення відповідно до специфікацій корабля. Стиснене повітря використовується для створення безтертної подушки під час руху перегородок, а комп'ютер керує та передбачає майбутні зміни геометрії через пряме з'єднання з процесорним блоком вантажного відсіку та мікросейсмічною системою зображення.

SYSTEM_CARGO_MOD_AMORPH6_SPECS|Тип конвертації: Розділений до Динамічного \nКоефіцієнт конвертації: 1:1 (без зменшення) \nМаса: 3,750 кг \nВиробник: Nakamura Dynamics


SYSTEM_CARGO_MOD_AMORPH_MANUAL|Для правильного використання потрібна Установка Переробки Мінералів. \nПеретворює об'єм зберігання мінералів на Динамічний. \nЗбільшує або зменшує загальний об'єм зберігання відповідно до коефіцієнта перетворення. Відсоток вказаний у характеристиках. \nНе потребує енергії або тепла реактора.
