SYSTEM_CAPACITOR_100|Легкий ультраконденсатор

SYSTEM_CAPACITOR_100_DESC|Графеновий фрактальний ультраконденсаторний циліндр для зберігання надлишкової енергії, що генерується, для доступності під час пікових навантажень. Компактний пристрій за розумною ціною.

SYSTEM_CAPACITOR_100_SPECS|Ємність: 100 MJ \nПікова віддача: 10 GW \nМаса: 400 кг  \nВиробник: Obonto Micro Engineering



SYSTEM_CAPACITOR_700|ND-iSMB

SYSTEM_CAPACITOR_700_DESC|Внутрішня надпровідна магнітна батарея від Nakamura Dynamics є альтернативним тимчасовим рішенням для зберігання енергії, запропонованим після успіху допоміжного енергоблоку NDAPS. Хоча батарея сильно екранована для запобігання впливу плазми реактивної маси на поле, її прямий інтерфейс з електричними шинами судна дозволяє досягати максимальних швидкостей розряду та зарядки з мінімальними втратами.

SYSTEM_CAPACITOR_700_SPECS|Ємність: 700 MJ \nПікова віддача: 10 GW \nМаса: 1,800 кг \nВиробник: Nakamura Dynamics


SYSTEM_CAPACITOR_1400|Здвоєний ND-iSMB

SYSTEM_CAPACITOR_1400_DESC|Два менших блоки iSMB, з'єднані за допомогою потужного балансувальника енергії. Завдяки цілеспрямованому допущенню взаємодій між двома магнітними полями, можна ефективніше зберігати більше енергії в меншому обладнанні.

SYSTEM_CAPACITOR_1400_SPECS|Ємність: 1,400 MJ \nПікова віддача: 10 GW \nМаса: 3,200 кг \nВиробник: Nakamura Dynamics
