SYSTEM_TURBINE_20|Масив термопар

SYSTEM_TURBINE_20_DESC|Цей простий масив термопар використовує тепловий градієнт між реактором судна і робочим тілом для генерації електроенергії. В процесі незначна кількість реакційної маси викидається за борт.

SYSTEM_TURBINE_20_SPECS|Потужність (номінальна): 20 MW \nСпоживання робочої маси: 20 г/с \nМаса: 100 кг \nВиробник: Rusatom-Antonoff



SYSTEM_TURBINE_160|Ламінарна турбіна

SYSTEM_TURBINE_160_DESC|Ця енергоустановка для суден, що розщеплюють ядерну енергію, використовує міць німецької інженерії (і дизайн, оптимізований штучним інтелектом) для мінімізації турбулентності потоку і теплових втрат у чотириступеневій регенеративній турбінній установці.

SYSTEM_TURBINE_160_SPECS|Потужність (номінальна): 160 MW \nСпоживання робочої маси: 160 г/с \nМаса: 600 кг \nВиробник: Boltzmann Waermerkraftmaschinen



SYSTEM_TURBINE_320|Подвійна ламінарна турбіна

SYSTEM_TURBINE_320_DESC|Ця енергоустановка для суден, що розщеплюють ядерну енергію, використовує міць німецької інженерії (і дизайн, оптимізований штучним інтелектом) для мінімізації турбулентності потоку і теплових втрат у двох чотириступеневих регенеративних турбінних установках. Маса і тиск рівномірно розподіляються між ними за допомогою нового твердотільного корпусу клапана.

SYSTEM_TURBINE_320_SPECS|Потужність (номінальна): 320 MW \nСпоживання робочої маси: 320 г/с \nМаса: 1,200 кг \nВиробник: Boltzmann Waermerkraftmaschinen
