SHIP_TSUKUYOMI_IOT|Фрегат класу "Tsukuyomi" ( списаний)

SHIP_TSUKUYOMI_IOT_DESC|Легкі фрегати класу "Tsukuyomi" були розроблені в 2190 році для військових операцій по всій Сонячній системі. Вони були першими у своєму роді і заклали основу для сучасних тактичних фрегатів, а їхні п'ять реакторів слугували величезними джерелами енергії для потужних рушіїв.  Після виходу з експлуатації сольо-водних ядерних ракет у військовому флоті, багато з них було знищено або продано приватним військовим підрядникам та корпораціям. \n\nЗавдяки верфям Sin Space Engineering, цей корабель повністю демілітаризований і реконструйований для операцій у зонах кілець. Його сольо-водні реактори були замінені трьома модульними контейнерами для встановлення сучасних систем NTR, а торпедні труби на носі були розділені для розширення трюму і додавання чотирьох кріплень для допоміжного обладнання.

SHIP_TSUKUYOMI_IOT_SPECS|Вироблено: Sin Space Engineering / Nakamura Dynamics \nКріплення високої міцності: 1 \nТорпедні апарати: 4 \nДок-відсіки: 4 \nТурельні кріплення: 2 \nЕкіпаж: 16 \nСуха маса: 455,350 кг \nВантажний відсік: 1300 м^3 \nСклад обробленого вантажу: 37,500 кг

SYSTEM_REACTOR_TSUYUKOMI_IOT-A|Ядро реактора Tsukuyomi A
SYSTEM_REACTOR_TSUYUKOMI_IOT-B|Ядро реактора Tsukuyomi B
SYSTEM_REACTOR_TSUYUKOMI_IOT-C|Ядро реактора Tsukuyomi C



SHIP_OCP209_DD|ОБП-214-DD "Глибока Тарілка"

SHIP_OCP209_DD_DESC|Модель 214-DD є версією ОБП-209, спеціально адаптованою для видобутку корисних копалин всередині кілець. Конструкція, що підтримує трюм, була опорожнена і покрита для збільшення об'єму необробленого вантажу, а додаткова силова інфраструктура дозволяє встановлювати стандартні аксесуари для вантажних відсіків. \nНезважаючи на очевидні переваги, ця конструкція ускладнює обробку руди, a зменшений об'єм складу для оброблених мінералів на борту змушує капітанів більше покладатися на допоміжне обладнання, ніж на більшості інших суден.

SHIP_OCP209_DD_SPECS|Вироблено: Obonto Microengineering \nКріплення високої міцності: 2 \nКріплення низької міцності: 2 \nДок-відсіки: 4 \nЕкіпаж: 8 \nСуха маса: 190,500 кг\nВантажний відсік: 700 м^3\nСклад обробленого вантажу (сукупний): 36,000 кг


SHIP_OCP209_SNAP|ОБП-207-SNAP "Піранья"

